# The format of each line is
# <NearAS,  NearBR,  FarAS,  DstPrfx>|(FarIPs)
<AS6939, sin1, AS714, 17.0.109.0/24>|(27.111.228.107, 27.111.228.242, 103.16.102.118, 103.16.102.114)
<AS6939, sin1, AS714, 17.0.224.0/24>|(27.111.228.107, 27.111.228.242, 103.16.102.118, 103.16.102.114)
<AS6939, sin1, AS714, 17.0.71.0/24>|(27.111.228.107, 27.111.228.242, 103.16.102.118, 103.16.102.114)
<AS6939, sin1, AS714, 17.0.99.0/24>|(27.111.228.107, 27.111.228.242, 103.16.102.118, 103.16.102.114)
<AS6939, sin1, AS714, 17.1.193.0/24>|(27.111.228.107, 27.111.228.242, 103.16.102.118, 103.16.102.114)
<AS6939, sin1, AS714, 17.1.197.0/24>|(27.111.228.107, 27.111.228.242, 103.16.102.118, 103.16.102.114)
<AS6939, sin1, AS714, 17.121.132.0/24>|(27.111.228.107, 27.111.228.242, 103.16.102.118, 103.16.102.114)
<AS6939, sin1, AS714, 17.122.242.0/24>|(27.111.228.107, 27.111.228.242, 103.16.102.118, 103.16.102.114)
<AS6939, sin1, AS714, 17.122.33.0/24>|(27.111.228.107, 27.111.228.242, 103.16.102.118, 103.16.102.114)
<AS6939, sin1, AS714, 17.129.96.0/24>|(27.111.228.107, 27.111.228.242, 103.16.102.118, 103.16.102.114)
<AS6939, sin1, AS714, 17.130.132.0/24>|(27.111.228.107, 27.111.228.242, 103.16.102.118, 103.16.102.114)
<AS6939, sin1, AS714, 17.130.180.0/24>|(27.111.228.107, 27.111.228.242, 103.16.102.118, 103.16.102.114)
<AS6939, sin1, AS714, 17.132.12.0/24>|(27.111.228.107, 27.111.228.242, 103.16.102.118, 103.16.102.114)
<AS6939, sin1, AS714, 17.132.13.0/24>|(27.111.228.107, 27.111.228.242, 103.16.102.118, 103.16.102.114)
<AS6939, sin1, AS714, 17.132.25.0/24>|(27.111.228.107, 27.111.228.242, 103.16.102.118, 103.16.102.114)
<AS6939, sin1, AS714, 17.132.27.0/24>|(27.111.228.107, 27.111.228.242, 103.16.102.118, 103.16.102.114)
<AS6939, sin1, AS714, 17.132.31.0/24>|(27.111.228.107, 27.111.228.242, 103.16.102.118, 103.16.102.114)
<AS6939, sin1, AS714, 17.132.4.0/24>|(27.111.228.107, 27.111.228.242, 103.16.102.118, 103.16.102.114)
<AS6939, sin1, AS714, 17.132.6.0/24>|(27.111.228.107, 27.111.228.242, 103.16.102.118, 103.16.102.114)
<AS6939, sin1, AS714, 17.140.42.0/24>|(27.111.228.107, 27.111.228.242, 103.16.102.118, 103.16.102.114)
<AS6939, sin1, AS714, 17.150.172.0/24>|(27.111.228.107, 27.111.228.242, 103.16.102.118, 103.16.102.114)
<AS6939, sin1, AS714, 17.157.1.0/24>|(27.111.228.107, 27.111.228.242, 103.16.102.118, 103.16.102.114)
<AS6939, sin1, AS714, 17.157.225.0/24>|(27.111.228.107, 27.111.228.242, 103.16.102.118, 103.16.102.114)
<AS6939, sin1, AS714, 17.157.5.0/24>|(27.111.228.107, 27.111.228.242, 103.16.102.118, 103.16.102.114)
<AS6939, sin1, AS714, 17.160.171.0/24>|(27.111.228.107, 27.111.228.242, 103.16.102.118, 103.16.102.114)
<AS6939, sin1, AS714, 17.160.22.0/24>|(27.111.228.107, 27.111.228.242, 103.16.102.118, 103.16.102.114)
