# The format of each line is
# <NearAS,  NearBR,  FarAS,  DstPrfx>|(FarIPs)
<AS6939, ams1, AS714, 17.0.109.0/24>|(80.249.211.160, 80.249.211.183)
<AS6939, ams1, AS1241, 62.1.41.0/24>|(80.249.210.140, 80.249.211.255)
<AS6939, ams1, AS1267, 192.5.97.0/24>|(80.249.209.236, 80.249.210.243)
<AS6939, ams1, AS3303, 45.85.96.0/24>|(80.249.208.100, 185.1.94.19)
<AS6939, ams1, AS6507, 104.160.141.0/24>|(80.249.211.66, 80.249.211.64)
<AS6939, ams1, AS6774, 213.137.134.0/24>|(80.249.208.87, 80.249.209.76)
<AS6939, ams1, AS8075, 104.44.238.0/24>|(80.249.209.20, 80.249.209.21)
<AS6939, ams1, AS8283, 91.208.34.0/24>|(80.249.211.161, 185.1.95.16)
<AS6939, ams1, AS8426, 91.213.190.0/24>|(80.249.208.82, 80.249.209.228)
<AS6939, ams1, AS8455, 195.137.242.0/24>|(185.1.94.31, 80.249.211.217)
<AS6939, ams1, AS8608, 91.223.140.0/24>|(80.249.209.90, 80.249.208.90)
<AS6939, ams1, AS9150, 185.65.124.0/24>|(80.249.209.179, 80.249.208.139)
<AS6939, ams1, AS10310, 188.125.90.0/24>|(80.249.209.110, 80.249.209.163)
<AS6939, ams1, AS12414, 91.235.237.0/24>|(185.1.94.11, 80.249.208.165)
<AS6939, ams1, AS12859, 91.233.105.0/24>|(80.249.208.35, 80.249.208.200)
<AS6939, ams1, AS13030, 193.47.153.0/24>|(80.249.208.210, 80.249.210.210)
<AS6939, ams1, AS13414, 104.244.40.0/24>|(80.249.210.46, 80.249.208.130)
<AS6939, ams1, AS14061, 141.0.169.0/24>|(80.249.211.163, 80.249.213.143)
<AS6939, ams1, AS15133, 46.22.70.0/24>|(80.249.208.151, 80.249.209.162)
<AS6939, ams1, AS15169, 104.134.92.0/24>|(80.249.208.247, 80.249.209.100)
<AS6939, ams1, AS15879, 193.104.111.0/24>|(80.249.209.67, 80.249.208.167)
<AS6939, ams1, AS16276, 46.105.198.0/24>|(80.249.209.245, 80.249.209.231)
<AS6939, ams1, AS16509, 205.251.198.0/24>|(80.249.210.217, 80.249.210.100)
<AS6939, ams1, AS20764, 79.141.210.0/24>|(80.249.211.84, 216.66.93.82)
<AS6939, ams1, AS22363, 31.6.4.0/24>|(80.249.212.23, 80.249.212.22)
<AS6939, ams1, AS22822, 208.111.184.0/24>|(80.249.209.133, 80.249.211.209)
<AS6939, ams1, AS29263, 217.68.51.0/24>|(80.249.208.129, 80.249.209.172)
<AS6939, ams1, AS29396, 185.30.56.0/24>|(80.249.209.166, 80.249.208.154)
<AS6939, ams1, AS30132, 199.6.1.0/24>|(216.66.84.107, 216.66.84.106)
<AS6939, ams1, AS34756, 195.230.110.0/24>|(80.249.210.97, 80.249.211.216)
<AS6939, ams1, AS35709, 95.214.17.0/24>|(185.1.95.123, 80.249.209.54)
<AS6939, ams1, AS38965, 193.178.197.0/24>|(185.1.32.39, 185.1.95.113)
<AS6939, ams1, AS39647, 193.84.253.0/24>|(80.249.209.72, 80.249.212.65)
<AS6939, ams1, AS39832, 91.203.97.0/24>|(80.249.210.55, 80.249.210.187)
<AS6939, ams1, AS41887, 81.173.34.0/24>|(216.66.94.14, 216.66.83.194)
<AS6939, ams1, AS43350, 5.104.136.0/24>|(80.249.208.228, 80.249.210.175)
<AS6939, ams1, AS46489, 192.108.239.0/24>|(80.249.211.27, 80.249.210.197)
<AS6939, ams1, AS49685, 83.96.157.0/24>|(80.249.209.149, 80.249.209.148)
<AS6939, ams1, AS49981, 5.188.232.0/24>|(80.249.210.37, 80.249.212.243)
<AS6939, ams1, AS50655, 178.20.174.0/24>|(185.1.32.7, 185.1.95.38)
<AS6939, ams1, AS50673, 5.255.72.0/24>|(80.249.211.95, 80.249.210.70)
<AS6939, ams1, AS54113, 104.156.80.0/24>|(80.249.212.183, 80.249.212.184)
<AS6939, ams1, AS57043, 146.0.72.0/24>|(216.66.94.126, 184.104.204.38)
<AS6939, ams1, AS60022, 149.12.241.0/24>|(80.249.213.218, 185.1.32.33)
<AS6939, ams1, AS62044, 165.225.30.0/24>|(80.249.212.162, 80.249.212.163)
<AS6939, ams1, AS64049, 103.198.142.0/24>|(80.249.213.41, 80.249.212.246)
<AS6939, ams1, AS134512, 43.239.140.0/24>|(185.1.95.42, 80.249.212.5)
<AS6939, ams1, AS199524, 185.101.139.0/24>|(80.249.210.150, 80.249.214.101)
<AS6939, ams1, AS199939, 212.237.253.0/24>|(80.249.211.25, 80.249.211.24)
<AS6939, ams1, AS200020, 194.62.131.0/24>|(80.249.208.3, 80.249.211.82)
<AS6939, ams1, AS204995, 185.184.8.0/24>|(80.249.213.187, 80.249.213.186)
