# The format of each line is
# <NearAS, NearBR, FarAS, DstPrfx>|(FarIPs in IXP),(FarIPs not in IXP)
<AS6939, chi1, AS15133, 2606:2800:11f::/48>|(2001:504:38:1:0:a501:5133:1, 2001:43f8:1f0::124);(2606:2800:4210:3fff::d, 2606:2800:4213:3fff::19)
<AS6939, mia1, AS16509, 2600:9000:10a3::/48>|(2001:504:40:108::1:136, 2001:504:0:6:0:1:6509:1, 2001:504:40:108::1:16, 2001:504:0:6:0:1:6509:2);()
<AS6939, nyc6, AS714, 2403:300:402::/48>|(2001:504:1::a500:714:3, 2001:504:1::a500:714:4, 2001:504:1::a500:714:1, 2001:504:1::a500:714:2);()
<AS6939, nyc6, AS54113, 2a04:4e40:a00::/48>|(2001:504:36::d361:0:2, 2001:504:36::d361:0:1, 2001:504:1::a505:4113:1, 2001:504:1::a505:4113:2);()
<AS6939, sea1, AS10310, 2406:6e00:f048::/48>|(2001:504:12::23, 2001:504:16::306:0:2846, 2001:504:16::2846, 2001:504:12::1:310:1);()
<AS6939, sea1, AS15133, 2606:2800:11f::/48>|(2001:470:0:413::2, 2001:504:16::3b1d, 2001:504:12::1:5133:1, 2001:504:12::1:5133:2);()
<AS6939, sea1, AS8075, 2001:df0:d8::/48>|(2001:504:16::68:0:1f8b, 2606:a980:0:4::d, 2001:504:12::15, 2001:504:16::1f8b);()
<AS6939, jnb1, AS327849, 2c0f:f2a0:4::/48>|(2001:43f8:6d0::9:102, 2001:43f8:6d0::102, 2001:43f8:1f0::224, 2001:504:40:108::1:131);()
<AS6939, jnb1, AS15169, 2001:4860:4864::/48>|(2001:43f8:6d0::a, 2001:43f8:6d0::9:113, 2001:43f8:1f0::41, 2001:504:40:108::1:84);()
<AS6939, sof1, AS13335, 2606:4700:1::/48>|(2001:67c:29f0::1:3335:2, 2001:7f8:8e::67, 2001:7f8:98::27, 2001:7f8:58::3417:0:1);()
<AS6939, sof1, AS15169, 2001:4860:4864::/48>|(2001:67c:29f0::1:5169:2, 2001:7f8:98::15, 2001:67c:29f0::1:5169:1, 2001:7f8:8e::10);()
<AS6939, tyo1, AS714, 2403:300::/48>|(2001:de8:5::714:2, 2001:de8:5::714:1, 2001:7fa:7:1::714:1, 2001:7fa:7:1::714:2);()
<AS6939, tyo1, AS10310, 2001:43f8:1140::/48>|(2001:7fa:7:1:0:1:310:1, 2001:de8:5::1:310:2, 2001:de8:5::1:310:1, 2001:7fa:7:1:0:1:310:2);()
<AS6939, hkg1, AS13335, 2400:cb00:56::/48>|(2001:de8:7::1:3335:1, 2001:df0:296::a501:3335:2, 2001:7fa:0:1::ca28:a0f6, 2001:7fa:7:1:0:1:3335:1);()
<AS6939, tyo1, AS15169, 2404:6800:4002::/48>|(2001:de8:5::1:5169:1, 2001:de8:8::1:5169:2, 2001:7fa:7:1:0:1:5169:2, 2001:7fa:7:1:0:1:5169:1);()
<AS6939, tyo1, AS15133, 2606:2800:60c::/48>|(2001:de8:5::1:5133:1, 2001:7fa:7:1:0:1:5133:1, 2001:7fa:7:1:0:1:5133:2, 2001:de8:5::1:5133:2);()
<AS6939, tyo1, AS16509, 2600:9000:108f::/48>|(2001:de8:5::1:6509:1, 2001:7fa:7:1:0:1:6509:1, 2001:7fa:7:1:0:1:6509:2, 2001:de8:5::1:6509:2);()
<AS6939, tyo1, AS18403, 2001:df6:1e00::/48>|(2001:7fa:7:1:0:1:8403:1, 2001:de8:8::1:8403:1, 2001:de8:c::1:8403:1, 2001:de8:5::1:8403:1);()
<AS6939, tyo1, AS8075, 2001:df0:d8::/48>|(2001:7fa:7:1::8075:1, 2001:de8:5::8075:1, 2001:de8:8::8075:1, 2001:de8:8::8075:2);()
<AS6939, vno1, AS13335, 2400:cb00:2049::/48>|(2001:7f8:c4::1:3335:1, 2001:7f8:b4:4b:5295:3417:0:1, 2001:1ab8:8486::33);()
<AS6939, jnb1, AS37356, 2001:43f8:ac0::/48>|(2001:43f8:6d0::209, 2001:43f8:1f0::75, 2001:43f8:6d0::9:10);()
<AS6939, mia1, AS8075, 2001:df0:d8::/48>|(2001:504:40:108::1:25);(2001:478:124::189, 2001:478:124::188)
<AS6939, sjc2, AS15133, 2606:2800:120::/48>|(2001:504:0:1:0:1:5133:2, 2001:504:0:1:0:1:5133:3);(2001:470:0:338::2)
<AS6939, mia1, AS10310, 2001:43f8:1140::/48>|(2001:504:40:108::1:22, 2001:504:0:6:0:1:310:2, 2001:504:0:6:0:1:310:1);()
<AS6939, mia1, AS15133, 2606:2800:11f::/48>|(2001:504:40:108::1:143, 2001:504:0:6:0:1:5133:2, 2001:504:0:6:0:1:5133:1);()
<AS6939, mia1, AS23089, 2604:8200:1::/48>|(2001:504:40:108::1:45, 2001:504:40:108::1:132, 2001:504:0:6:0:2:3089:1);()
<AS6939, nyc6, AS10310, 2406:8600:f83f::/48>|(2001:504:36::2846:0:1, 2001:504:36::2846:0:2, 2001:504:1::a501:310:1);()
<AS6939, nyc6, AS15133, 2606:2800:11f::/48>|(2001:504:1::a501:5133:1, 2001:504:36::3b1d:0:1, 2001:504:1::a501:5133:2);()
<AS6939, sea1, AS16509, 2600:9000:10e9::/48>|(2001:504:16::248:0:407d, 2001:504:16::407d, 2001:504:12::29);()
<AS6939, lax2, AS15133, 2606:2800:11f::/48>|(2001:504:13::210:112, 2001:504:13::210:232);(2001:470:0:337::2)
<AS6939, nyc6, AS16509, 2600:9000:110b::/48>|(2001:504:1::a501:6509:2, 2001:504:1::a501:6509:1, 2001:504:36::407d:0:1);()
<AS6939, mia1, AS54113, 2a04:4e40:bc00::/48>|(2001:504:0:6:0:5:4113:1, 2001:504:0:6:0:5:4113:2, 2001:504:40:108::1:75);()
<AS6939, tor1, AS13335, 2606:4700:f1::/48>|(2001:504:1a::34:208, 2606:a980:0:8::8, 2001:504:d:80:0:1:3335:1);()
<AS6939, sof1, AS42, 2001:500:14::/48>|(2001:67c:29f0::42:1, 2001:7f8:98::37, 2001:7f8:58::2a:0:1);()
<AS6939, kbp1, AS13335, 2400:cb00:2049::/48>|(2001:7f8:63::1:c9, 2001:7f8:6c::76, 2001:7f8:5d::68);()
<AS6939, sof1, AS3856, 2620:0:870::/48>|(2001:7f8:58::f10:0:1, 2001:67c:29f0::3856:1, 2001:7f8:98::38);()
<AS6939, lis1, AS15133, 2606:2800:133::/48>|(2001:7f8:d5::3b1d:0:1, 2001:7f8:a:1::175, 2001:7f8:c7::1:5133:1);()
<AS6939, lis1, AS13335, 2400:cb00:107::/48>|(2001:7f8:a:1::20, 2001:7f8:c7::1:3335:1, 2001:7f8:d5::3417:0:1);()
<AS6939, hkg1, AS15169, 2404:6800:4002::/48>|(2001:de8:7::1:5169:1, 2001:df0:296::a501:5169:2, 2001:7fa:0:1::ca28:a10a);()
<AS6939, hkg1, AS23881, 2400:c300::/48>|(2001:7fa:0:1::ca28:a041, 2001:7fa:0:1::ca28:a0fd, 2001:7fa:0:1::ca28:a11f);()
